tactic,surface,technique_count,avg_final_score,max_final_score,critical_count,medium_high_count,top_attack_vectors
Lateral Movement,Data / Storage,5,8.88,10,4,1,T1570 Lateral Tool Transfer; T1080 Taint Shared Content; T1021.005 VNC; T1550.004 Web Session Cookie; T1091 Replication Through Removable Media
Persistence,SaaS / Office / Email,29,8.79,10,27,1,T1078 Valid Accounts; T1554 Compromise Host Software Binary; T1176.001 Browser Extensions; T1098 Account Manipulation; T1556 Modify Authentication Process
Credential Access,Cloud Control Plane,29,8.75,10,23,5,T1552.001 Credentials In Files; T1539 Steal Web Session Cookie; T1040 Network Sniffing; T1555 Credentials from Password Stores; T1003.003 NTDS
Lateral Movement,Server / Workload,20,8.66,10,17,1,T1210 Exploitation of Remote Services; T1021.004 SSH; T1021.002 SMB/Windows Admin Shares; T1021.001 Remote Desktop Protocol; T1570 Lateral Tool Transfer
Credential Access,Network / Perimeter,25,8.64,10,19,6,T1056.001 Keylogging; T1056 Input Capture; T1040 Network Sniffing; T1557.001 Name Resolution Poisoning and SMB Relay; T1056.003 Web Portal Capture
Persistence,Public Internet / Edge,30,8.62,10,27,2,T1505.003 Web Shell; T1133 External Remote Services; T1078.002 Domain Accounts; T1078 Valid Accounts; T1176.001 Browser Extensions
Stealth,Cloud Control Plane,17,8.6,10,14,1,T1036.005 Match Legitimate Resource Name or Location; T1036 Masquerading; T1078 Valid Accounts; T1070 Indicator Removal; T1070.009 Clear Persistence
Defense Impairment,Identity / IAM,29,8.54,10,22,6,T1112 Modify Registry; T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication
Stealth,SaaS / Office / Email,13,8.51,10,10,2,T1078 Valid Accounts; T1070 Indicator Removal; T1564 Hide Artifacts; T1564.008 Email Hiding Rules; T1684 Social Engineering
Exfiltration,Public Internet / Edge,9,8.43,10,8,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1567.002 Exfiltration to Cloud Storage; T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol; T1011.001 Exfiltration Over Bluetooth
Stealth,Public Internet / Edge,33,8.39,10,26,6,T1027 Obfuscated Files or Information; T1078.002 Domain Accounts; T1078 Valid Accounts; T1564 Hide Artifacts; T1218.001 Compiled HTML File
Impact,Identity / IAM,12,8.33,10,10,0,T1489 Service Stop; T1657 Financial Theft; T1561.002 Disk Structure Wipe; T1561.001 Disk Content Wipe; T1491.001 Internal Defacement
Persistence,Server / Workload,110,8.27,10,81,26,T1053.005 Scheduled Task; T1505.003 Web Shell; T1136.001 Local Account; T1078.002 Domain Accounts; T1547.001 Registry Run Keys / Startup Folder
Credential Access,SaaS / Office / Email,36,8.26,10,28,5,T1003.001 LSASS Memory; T1539 Steal Web Session Cookie; T1040 Network Sniffing; T1056.002 GUI Input Capture; T1555.003 Credentials from Web Browsers
Stealth,Data / Storage,72,8.25,10,53,17,T1027 Obfuscated Files or Information; T1574.001 DLL; T1036 Masquerading; T1480 Execution Guardrails; T1140 Deobfuscate/Decode Files or Information
Persistence,Network / Perimeter,33,8.21,10,24,8,T1505.003 Web Shell; T1133 External Remote Services; T1136.001 Local Account; T1078.002 Domain Accounts; T1176.001 Browser Extensions
Defense Impairment,Endpoint / User,30,8.21,10,21,8,T1112 Modify Registry; T1686 Disable or Modify System Firewall; T1484.001 Group Policy Modification; T1222.001 Windows Permissions; T1484.002 Trust Modification
Collection,Network / Perimeter,25,8.2,10,20,2,T1056.001 Keylogging; T1005 Data from Local System; T1125 Video Capture; T1114.002 Remote Email Collection; T1185 Browser Session Hijacking
Defense Impairment,Cloud Control Plane,18,8.19,10,11,7,T1685 Disable or Modify Tools; T1556 Modify Authentication Process; T1556.006 Multi-Factor Authentication; T1484.002 Trust Modification; T1556.007 Hybrid Identity
Privilege Escalation,Data / Storage,29,8.15,10,18,11,T1053.005 Scheduled Task; T1547.001 Registry Run Keys / Startup Folder; T1484.001 Group Policy Modification; T1037.004 RC Scripts; T1611 Escape to Host
Persistence,Endpoint / User,84,8.06,10,60,21,T1053.005 Scheduled Task; T1505.003 Web Shell; T1547.001 Registry Run Keys / Startup Folder; T1112 Modify Registry; T1136.002 Domain Account
Privilege Escalation,Server / Workload,94,8.0,10,58,32,T1053.005 Scheduled Task; T1548.002 Bypass User Account Control; T1068 Exploitation for Privilege Escalation; T1078.002 Domain Accounts; T1547.001 Registry Run Keys / Startup Folder
Exfiltration,Network / Perimeter,19,7.98,10,16,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1048 Exfiltration Over Alternative Protocol; T1048.002 Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
Stealth,Identity / IAM,65,7.97,10,45,17,T1480 Execution Guardrails; T1078.002 Domain Accounts; T1140 Deobfuscate/Decode Files or Information; T1078 Valid Accounts; T1027.015 Compression
Stealth,Network / Perimeter,61,7.97,10,44,16,T1027 Obfuscated Files or Information; T1480 Execution Guardrails; T1078.002 Domain Accounts; T1070 Indicator Removal; T1027.003 Steganography
Execution,Containers / Kubernetes,7,7.95,10,6,1,T1053 Scheduled Task/Job; T1053.007 Container Orchestration Job; T1610 Deploy Container; T1204 User Execution; T1204.003 Malicious Image
Privilege Escalation,Endpoint / User,78,7.94,10,46,29,T1053.005 Scheduled Task; T1548.002 Bypass User Account Control; T1068 Exploitation for Privilege Escalation; T1547.001 Registry Run Keys / Startup Folder; T1134 Access Token Manipulation
Defense Impairment,Server / Workload,51,7.94,10,31,18,T1685 Disable or Modify Tools; T1112 Modify Registry; T1686 Disable or Modify System Firewall; T1484.001 Group Policy Modification; T1222.001 Windows Permissions
Exfiltration,Cloud Control Plane,6,7.92,10,5,0,T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol; T1537 Transfer Data to Cloud Account; T1567.004 Exfiltration Over Webhook; T1020.001 Traffic Duplication
Exfiltration,Data / Storage,23,7.9,10,19,0,T1048.003 Exfiltration Over Unencrypted Non-C2 Protocol; T1041 Exfiltration Over C2 Channel; T1567.002 Exfiltration to Cloud Storage; T1567 Exfiltration Over Web Service; T1048 Exfiltration Over Alternative Protocol
Credential Access,Identity / IAM,79,7.82,10,60,7,T1056.001 Keylogging; T1056 Input Capture; T1003.001 LSASS Memory; T1552.001 Credentials In Files; T1539 Steal Web Session Cookie
